Rk,Year,Date,Region,Round,School,PTS,Opponent,PTS,OT,Diff,Location
401,2015,17-Mar-15,Midwest,First Round,16ÊHampton,74,16ÊManhattan,64,,10,"Dayton, OH"
402,2015,17-Mar-15,West,First Round,11ÊBrigham Young,90,11ÊMississippi,94,,-4,"Dayton, OH"
403,2014,7-Apr-14,National,National Final,8ÊKentucky,54,7ÊConnecticut,60,,-6,"Arlington, TX"
404,2014,7-Apr-14,National,National Final,7ÊConnecticut,60,8ÊKentucky,54,,6,"Arlington, TX"
405,2014,5-Apr-14,National,National Semifinal,2ÊWisconsin,73,8ÊKentucky,74,,-1,"Arlington, TX"
406,2014,5-Apr-14,National,National Semifinal,8ÊKentucky,74,2ÊWisconsin,73,,1,"Arlington, TX"
407,2014,5-Apr-14,National,National Semifinal,1ÊFlorida,53,7ÊConnecticut,63,,-10,"Arlington, TX"
408,2014,5-Apr-14,National,National Semifinal,7ÊConnecticut,63,1ÊFlorida,53,,10,"Arlington, TX"
409,2014,30-Mar-14,East,Regional Final,4ÊMichigan State,54,7ÊConnecticut,60,,-6,"New York, NY"
410,2014,30-Mar-14,Midwest,Regional Final,2ÊMichigan,72,8ÊKentucky,75,,-3,"Indianapolis, IN"
411,2014,30-Mar-14,Midwest,Regional Final,8ÊKentucky,75,2ÊMichigan,72,,3,"Indianapolis, IN"
412,2014,30-Mar-14,East,Regional Final,7ÊConnecticut,60,4ÊMichigan State,54,,6,"New York, NY"
413,2014,29-Mar-14,West,Regional Final,2ÊWisconsin,64,1ÊArizona,63,OT,1,"Anaheim, CA"
414,2014,29-Mar-14,South,Regional Final,1ÊFlorida,62,11ÊDayton,52,,10,"Memphis, TN"
415,2014,29-Mar-14,South,Regional Final,11ÊDayton,52,1ÊFlorida,62,,-10,"Memphis, TN"
416,2014,29-Mar-14,West,Regional Final,1ÊArizona,63,2ÊWisconsin,64,OT,-1,"Anaheim, CA"
417,2014,28-Mar-14,East,Regional Semifinal,1ÊVirginia,59,4ÊMichigan State,61,,-2,"New York, NY"
418,2014,28-Mar-14,Midwest,Regional Semifinal,11ÊTennessee,71,2ÊMichigan,73,,-2,"Indianapolis, IN"
419,2014,28-Mar-14,East,Regional Semifinal,4ÊMichigan State,61,1ÊVirginia,59,,2,"New York, NY"
420,2014,28-Mar-14,Midwest,Regional Semifinal,2ÊMichigan,73,11ÊTennessee,71,,2,"Indianapolis, IN"
421,2014,28-Mar-14,Midwest,Regional Semifinal,4ÊLouisville,69,8ÊKentucky,74,,-5,"Indianapolis, IN"
422,2014,28-Mar-14,Midwest,Regional Semifinal,8ÊKentucky,74,4ÊLouisville,69,,5,"Indianapolis, IN"
423,2014,28-Mar-14,East,Regional Semifinal,3ÊIowa State,76,7ÊConnecticut,81,,-5,"New York, NY"
424,2014,28-Mar-14,East,Regional Semifinal,7ÊConnecticut,81,3ÊIowa State,76,,5,"New York, NY"
425,2014,27-Mar-14,West,Regional Semifinal,2ÊWisconsin,69,6ÊBaylor,52,,17,"Anaheim, CA"
426,2014,27-Mar-14,South,Regional Semifinal,4ÊUCLA,68,1ÊFlorida,79,,-11,"Memphis, TN"
427,2014,27-Mar-14,South,Regional Semifinal,10ÊStanford,72,11ÊDayton,82,,-10,"Memphis, TN"
428,2014,27-Mar-14,West,Regional Semifinal,4ÊSan Diego State,64,1ÊArizona,70,,-6,"Anaheim, CA"
429,2014,27-Mar-14,South,Regional Semifinal,1ÊFlorida,79,4ÊUCLA,68,,11,"Memphis, TN"
430,2014,27-Mar-14,South,Regional Semifinal,11ÊDayton,82,10ÊStanford,72,,10,"Memphis, TN"
431,2014,27-Mar-14,West,Regional Semifinal,6ÊBaylor,52,2ÊWisconsin,69,,-17,"Anaheim, CA"
432,2014,27-Mar-14,West,Regional Semifinal,1ÊArizona,70,4ÊSan Diego State,64,,6,"Anaheim, CA"
433,2014,23-Mar-14,Midwest,Third Round,1ÊWichita State,76,8ÊKentucky,78,,-2,"St. Louis, MO"
434,2014,23-Mar-14,East,Third Round,1ÊVirginia,78,8ÊMemphis,60,,18,"Raleigh, NC"
435,2014,23-Mar-14,South,Third Round,4ÊUCLA,77,12ÊStephen F. Austin,60,,17,"San Diego, CA"
436,2014,23-Mar-14,Midwest,Third Round,11ÊTennessee,83,14ÊMercer,63,,20,"Raleigh, NC"
437,2014,23-Mar-14,South,Third Round,12ÊStephen F. Austin,60,4ÊUCLA,77,,-17,"San Diego, CA"
438,2014,23-Mar-14,South,Third Round,10ÊStanford,60,2ÊKansas,57,,3,"St. Louis, MO"
439,2014,23-Mar-14,East,Third Round,6ÊNorth Carolina,83,3ÊIowa State,85,,-2,"San Antonio, TX"
440,2014,23-Mar-14,Midwest,Third Round,14ÊMercer,63,11ÊTennessee,83,,-20,"Raleigh, NC"
441,2014,23-Mar-14,East,Third Round,8ÊMemphis,60,1ÊVirginia,78,,-18,"Raleigh, NC"
442,2014,23-Mar-14,Midwest,Third Round,8ÊKentucky,78,1ÊWichita State,76,,2,"St. Louis, MO"
443,2014,23-Mar-14,South,Third Round,2ÊKansas,57,10ÊStanford,60,,-3,"St. Louis, MO"
444,2014,23-Mar-14,East,Third Round,3ÊIowa State,85,6ÊNorth Carolina,83,,2,"San Antonio, TX"
445,2014,23-Mar-14,West,Third Round,8ÊGonzaga,61,1ÊArizona,84,,-23,"San Diego, CA"
446,2014,23-Mar-14,West,Third Round,3ÊCreighton,55,6ÊBaylor,85,,-30,"San Antonio, TX"
447,2014,23-Mar-14,West,Third Round,6ÊBaylor,85,3ÊCreighton,55,,30,"San Antonio, TX"
448,2014,23-Mar-14,West,Third Round,1ÊArizona,84,8ÊGonzaga,61,,23,"San Diego, CA"
449,2014,22-Mar-14,West,Third Round,2ÊWisconsin,85,7ÊOregon,77,,8,"Milwaukee, WI"
450,2014,22-Mar-14,East,Third Round,2ÊVillanova,65,7ÊConnecticut,77,,-12,"Buffalo, NY"
451,2014,22-Mar-14,Midwest,Third Round,7ÊTexas,65,2ÊMichigan,79,,-14,"Milwaukee, WI"
452,2014,22-Mar-14,South,Third Round,3ÊSyracuse,53,11ÊDayton,55,,-2,"Buffalo, NY"
453,2014,22-Mar-14,West,Third Round,4ÊSan Diego State,63,12ÊNorth Dakota State,44,,19,"Spokane, WA"
454,2014,22-Mar-14,Midwest,Third Round,5ÊSaint Louis,51,4ÊLouisville,66,,-15,"Orlando, FL"
455,2014,22-Mar-14,South,Third Round,9ÊPittsburgh,45,1ÊFlorida,61,,-16,"Orlando, FL"
456,2014,22-Mar-14,West,Third Round,7ÊOregon,77,2ÊWisconsin,85,,-8,"Milwaukee, WI"
