Rk,Year,Date,Region,Round,School,PTS,Opponent,PTS,OT,Diff,Location
801,2012,13-Mar-12,South,First Round,16ÊWestern Kentucky,59,16ÊMississippi Valley State,58,,1,"Dayton, OH"
802,2012,13-Mar-12,South,First Round,16ÊMississippi Valley State,58,16ÊWestern Kentucky,59,,-1,"Dayton, OH"
803,2012,13-Mar-12,West,First Round,14ÊIona,72,14ÊBrigham Young,78,,-6,"Dayton, OH"
804,2012,13-Mar-12,West,First Round,14ÊBrigham Young,78,14ÊIona,72,,6,"Dayton, OH"
805,2011,4-Apr-11,National,National Final,3ÊConnecticut,53,8ÊButler,41,,12,"Houston, TX"
806,2011,4-Apr-11,National,National Final,8ÊButler,41,3ÊConnecticut,53,,-12,"Houston, TX"
807,2011,2-Apr-11,National,National Semifinal,11ÊVirginia Commonwealth,62,8ÊButler,70,,-8,"Houston, TX"
808,2011,2-Apr-11,National,National Semifinal,4ÊKentucky,55,3ÊConnecticut,56,,-1,"Houston, TX"
809,2011,2-Apr-11,National,National Semifinal,3ÊConnecticut,56,4ÊKentucky,55,,1,"Houston, TX"
810,2011,2-Apr-11,National,National Semifinal,8ÊButler,70,11ÊVirginia Commonwealth,62,,8,"Houston, TX"
811,2011,27-Mar-11,Southwest,Regional Final,11ÊVirginia Commonwealth,71,1ÊKansas,61,,10,"San Antonio, TX"
812,2011,27-Mar-11,East,Regional Final,2ÊNorth Carolina,69,4ÊKentucky,76,,-7,"Newark, NJ"
813,2011,27-Mar-11,East,Regional Final,4ÊKentucky,76,2ÊNorth Carolina,69,,7,"Newark, NJ"
814,2011,27-Mar-11,Southwest,Regional Final,1ÊKansas,61,11ÊVirginia Commonwealth,71,,-10,"San Antonio, TX"
815,2011,26-Mar-11,Southeast,Regional Final,2ÊFlorida,71,8ÊButler,74,OT,-3,"New Orleans, LA"
816,2011,26-Mar-11,West,Regional Final,3ÊConnecticut,65,5ÊArizona,63,,2,"Anaheim, CA"
817,2011,26-Mar-11,Southeast,Regional Final,8ÊButler,74,2ÊFlorida,71,OT,3,"New Orleans, LA"
818,2011,26-Mar-11,West,Regional Final,5ÊArizona,63,3ÊConnecticut,65,,-2,"Anaheim, CA"
819,2011,25-Mar-11,Southwest,Regional Semifinal,11ÊVirginia Commonwealth,72,10ÊFlorida State,71,OT,1,"San Antonio, TX"
820,2011,25-Mar-11,Southwest,Regional Semifinal,12ÊRichmond,57,1ÊKansas,77,,-20,"San Antonio, TX"
821,2011,25-Mar-11,East,Regional Semifinal,1ÊOhio State,60,4ÊKentucky,62,,-2,"Newark, NJ"
822,2011,25-Mar-11,East,Regional Semifinal,2ÊNorth Carolina,81,11ÊMarquette,63,,18,"Newark, NJ"
823,2011,25-Mar-11,East,Regional Semifinal,11ÊMarquette,63,2ÊNorth Carolina,81,,-18,"Newark, NJ"
824,2011,25-Mar-11,East,Regional Semifinal,4ÊKentucky,62,1ÊOhio State,60,,2,"Newark, NJ"
825,2011,25-Mar-11,Southwest,Regional Semifinal,1ÊKansas,77,12ÊRichmond,57,,20,"San Antonio, TX"
826,2011,25-Mar-11,Southwest,Regional Semifinal,10ÊFlorida State,71,11ÊVirginia Commonwealth,72,OT,-1,"San Antonio, TX"
827,2011,24-Mar-11,Southeast,Regional Semifinal,4ÊWisconsin,54,8ÊButler,61,,-7,"New Orleans, LA"
828,2011,24-Mar-11,West,Regional Semifinal,2ÊSan Diego State,67,3ÊConnecticut,74,,-7,"Anaheim, CA"
829,2011,24-Mar-11,Southeast,Regional Semifinal,2ÊFlorida,83,3ÊBrigham Young,74,OT,9,"New Orleans, LA"
830,2011,24-Mar-11,West,Regional Semifinal,1ÊDuke,77,5ÊArizona,93,,-16,"Anaheim, CA"
831,2011,24-Mar-11,West,Regional Semifinal,3ÊConnecticut,74,2ÊSan Diego State,67,,7,"Anaheim, CA"
