Rk,Year,Date,Region,Round,School,PTS,Opponent,PTS,OT,Diff,Location
1,2017,3-Apr-17,National,National Final,1 North Carolina,71,1 Gonzaga,65,,6,"Glendale, AZ"
2,2017,3-Apr-17,National,National Final,1 Gonzaga,65,1 North Carolina,71,,-6,"Glendale, AZ"
3,2017,1-Apr-17,National,National Semifinal,7 South Carolina,73,1 Gonzaga,77,,-4,"Glendale, AZ"
4,2017,1-Apr-17,National,National Semifinal,3 Oregon,76,1 North Carolina,77,,-1,"Glendale, AZ"
5,2017,1-Apr-17,National,National Semifinal,1 North Carolina,77,3 Oregon,76,,1,"Glendale, AZ"
6,2017,1-Apr-17,National,National Semifinal,1 Gonzaga,77,7 South Carolina,73,,4,"Glendale, AZ"
7,2017,26-Mar-17,East,Regional Final,7 South Carolina,77,4 Florida,70,,7,"New York, NY"
8,2017,26-Mar-17,South,Regional Final,1 North Carolina,75,2 Kentucky,73,,2,"Memphis, TN"
9,2017,26-Mar-17,South,Regional Final,2 Kentucky,73,1 North Carolina,75,,-2,"Memphis, TN"
10,2017,26-Mar-17,East,Regional Final,4 Florida,70,7 South Carolina,77,,-7,"New York, NY"
11,2017,25-Mar-17,West,Regional Final,11 Xavier,59,1 Gonzaga,83,,-24,"San Jose, CA"
12,2017,25-Mar-17,Midwest,Regional Final,3 Oregon,74,1 Kansas,60,,14,"Kansas City, MO"
13,2017,25-Mar-17,Midwest,Regional Final,1 Kansas,60,3 Oregon,74,,-14,"Kansas City, MO"
14,2017,25-Mar-17,West,Regional Final,1 Gonzaga,83,11 Xavier,59,,24,"San Jose, CA"
15,2017,24-Mar-17,East,Regional Semifinal,8 Wisconsin,83,4 Florida,84,OT,-1,"New York, NY"
16,2017,24-Mar-17,South,Regional Semifinal,3 UCLA,75,2 Kentucky,86,,-11,"Memphis, TN"
17,2017,24-Mar-17,East,Regional Semifinal,7 South Carolina,70,3 Baylor,50,,20,"New York, NY"
18,2017,24-Mar-17,South,Regional Semifinal,1 North Carolina,92,4 Butler,80,,12,"Memphis, TN"
19,2017,24-Mar-17,South,Regional Semifinal,2 Kentucky,86,3 UCLA,75,,11,"Memphis, TN"
20,2017,24-Mar-17,East,Regional Semifinal,4 Florida,84,8 Wisconsin,83,OT,1,"New York, NY"
21,2017,24-Mar-17,South,Regional Semifinal,4 Butler,80,1 North Carolina,92,,-12,"Memphis, TN"
22,2017,24-Mar-17,East,Regional Semifinal,3 Baylor,50,7 South Carolina,70,,-20,"New York, NY"
23,2017,23-Mar-17,West,Regional Semifinal,11 Xavier,73,2 Arizona,71,,2,"San Jose, CA"
24,2017,23-Mar-17,West,Regional Semifinal,4 West Virginia,58,1 Gonzaga,61,,-3,"San Jose, CA"
25,2017,23-Mar-17,Midwest,Regional Semifinal,4 Purdue,66,1 Kansas,98,,-32,"Kansas City, MO"
26,2017,23-Mar-17,Midwest,Regional Semifinal,3 Oregon,69,7 Michigan,68,,1,"Kansas City, MO"
27,2017,23-Mar-17,Midwest,Regional Semifinal,7 Michigan,68,3 Oregon,69,,-1,"Kansas City, MO"
28,2017,23-Mar-17,Midwest,Regional Semifinal,1 Kansas,98,4 Purdue,66,,32,"Kansas City, MO"
29,2017,23-Mar-17,West,Regional Semifinal,1 Gonzaga,61,4 West Virginia,58,,3,"San Jose, CA"
30,2017,23-Mar-17,West,Regional Semifinal,2 Arizona,71,11 Xavier,73,,-2,"San Jose, CA"
31,2017,19-Mar-17,South,Second Round,10 Wichita State,62,2 Kentucky,65,,-3,"Indianapolis, IN"
32,2017,19-Mar-17,South,Second Round,3 UCLA,79,6 Cincinnati,67,,12,"Sacramento, CA"
33,2017,19-Mar-17,East,Second Round,11 Southern California,78,3 Baylor,82,,-4,"Tulsa, OK"
34,2017,19-Mar-17,East,Second Round,7 South Carolina,88,2 Duke,81,,7,"Greenville, SC"
35,2017,19-Mar-17,Midwest,Second Round,11 Rhode Island,72,3 Oregon,75,,-3,"Sacramento, CA"
36,2017,19-Mar-17,Midwest,Second Round,3 Oregon,75,11 Rhode Island,72,,3,"Sacramento, CA"
37,2017,19-Mar-17,South,Second Round,1 North Carolina,72,8 Arkansas,65,,7,"Greenville, SC"
38,2017,19-Mar-17,Midwest,Second Round,9 Michigan State,70,1 Kansas,90,,-20,"Tulsa, OK"
